channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,Unnamed: 9
Bro Code,How to sort an array in C++ for beginners ➡️,https://www.youtube.com/watch?v=kOEOqehNCQg,5/20/24,5:55,7836,230,29,howtosortanarrayincforbeginners.txt,2
Bro Code,C++ search an array for an element 🔎,https://www.youtube.com/watch?v=a6V4QQs5m3E,5/20/24,7:37,7993,240,15,csearchanarrayforanelement.txt,2
Bro Code,C++ pass arrays to functions 💵,https://www.youtube.com/watch?v=VQSroKMqISE,5/20/24,4:31,8571,269,16,cpassarraystofunctions.txt,2
Bro Code,C++ 'for each' loop explained 🗂️,https://www.youtube.com/watch?v=qnEUB25TRaY,5/20/24,2:57,7661,260,21,cforeachloopexplained.txt,2
Bro Code,C++ array iteration for beginners 🗃️,https://www.youtube.com/watch?v=a4P4ial8OgQ,5/20/24,4:07,7544,229,9,carrayiterationforbeginners.txt,2
Bro Code,C++ sizeof() operator explained ⚖️,https://www.youtube.com/watch?v=1_YDHY_34Bg,5/20/24,4:55,7654,235,13,csizeofoperatorexplained.txt,2
Bro Code,C++ arrays explained 🚗,https://www.youtube.com/watch?v=QFrJQq6Iox8,5/20/24,5:29,12208,356,28,carraysexplained.txt,2
Bro Code,C++ ROCK PAPER SCISSORS game for beginners 👊,https://www.youtube.com/watch?v=F4jzY6YVw4w,5/20/24,13:07,9394,294,37,crockpaperscissorsgameforbeginners.txt,2
Bro Code,C++ Banking program for beginners 💰,https://www.youtube.com/watch?v=TJOysgQkqZY,5/20/24,13:53,10438,304,42,cbankingprogramforbeginners.txt,2
Bro Code,C++ variable scope explained 🌎,https://www.youtube.com/watch?v=Q7ZFHAO-oxI,5/20/24,4:23,7255,301,12,cvariablescopeexplained.txt,2
Bro Code,C++ overloaded functions explained 🍕,https://www.youtube.com/watch?v=LZd5LhfnYsk,5/20/24,3:07,8338,280,10,coverloadedfunctionsexplained.txt,2
Bro Code,What does 'return' do in C++? 🔙,https://www.youtube.com/watch?v=d89IvsCh__E,5/20/24,6:09,9224,289,13,whatdoesreturndoinc.txt,2
Bro Code,C++ user defined functions explained 📞,https://www.youtube.com/watch?v=6SnxFx9aRps,5/20/24,7:24,11974,375,17,cuserdefinedfunctionsexplained.txt,2
