channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,"Tier (1, 2, or 3)"
Programming with Mosh,JavaScript this Keyword,https://www.youtube.com/watch?v=gvicrj31JOM,5/15/18,8:21,453036,11262,535,javascriptthiskeyword.txt,2
Programming with Mosh,JavaScript Cloning an Object,https://www.youtube.com/watch?v=H1NmJIv1A2Y,5/15/18,5:20,84195,1270,36,javascriptcloninganobject.txt,2
Programming with Mosh,JavaScript Scope (Local vs Global),https://www.youtube.com/watch?v=iJKkZA215tQ,5/15/18,5:43,56807,1084,31,javascriptscopelocalvsglobal.txt,2
Programming with Mosh,JavaScript Value vs Reference Types,https://www.youtube.com/watch?v=fD0t_DKREbE,5/15/18,6:48,97225,2214,69,javascriptvaluevsreferencetypes.txt,2
Programming with Mosh,JavaScript Functions,https://www.youtube.com/watch?v=N8ap4k_1QEQ,5/15/18,5:38,430896,7507,177,javascriptfunctions.txt,2
Programming with Mosh,JavaScript Getters and Setters | Mosh,https://www.youtube.com/watch?v=bl98dm7vJt0,5/15/18,6:37,238314,6338,268,javascriptgettersandsettersmosh.txt,2
Programming with Mosh,JavaScript Arrays,https://www.youtube.com/watch?v=oigfaZ5ApsM,5/15/18,5:16,287188,3386,67,javascriptarrays.txt,2
Programming with Mosh,JavaScript Loops,https://www.youtube.com/watch?v=s9wW2PpJsmQ,5/15/18,6:49,415731,7827,200,javascriptloops.txt,2
Programming with Mosh,JavaScript Constructor Functions,https://www.youtube.com/watch?v=23AOrSN-wmI,5/15/18,6:47,245614,4340,123,javascriptconstructorfunctions.txt,2
Programming with Mosh,JavaScript Factory Functions,https://www.youtube.com/watch?v=jpegXpQpb3o,5/15/18,6:43,149979,2255,54,javascriptfactoryfunctions.txt,2
Programming with Mosh,What is JavaScript?,https://www.youtube.com/watch?v=upDLs1sn7g4,4/24/18,5:12,789111,11114,123,whatisjavascript.txt,2
